#AuJC, d=50 nm, n=1
#nm  Qext    Qsca
972 0.00735 0.00220
973 0.00733 0.00219
974 0.00731 0.00218
975 0.00729 0.00217
976 0.00727 0.00216
977 0.00725 0.00215
978 0.00724 0.00214
979 0.00722 0.00213
980 0.00720 0.00212
981 0.00718 0.00211
982 0.00716 0.00210
983 0.00714 0.00209
984 0.00712 0.00208
985 0.00711 0.00207
986 0.00709 0.00206
987 0.00707 0.00205
988 0.00705 0.00205
989 0.00703 0.00204
990 0.00701 0.00203
991 0.00699 0.00202
992 0.00698 0.00201
993 0.00696 0.00200
994 0.00694 0.00199
995 0.00692 0.00198
996 0.00690 0.00197
997 0.00688 0.00196
998 0.00686 0.00196
999 0.00685 0.00195
1000 0.00683 0.00194
